Geneid	Chr	Start	End	Strand	Length	Female.ovary_1Aligned.sortedByCoord.out.bam	Female.ovary_2Aligned.sortedByCoord.out.bam	Female.ovary_3Aligned.sortedByCoord.out.bam	Female.ovary_4Aligned.sortedByCoord.out.bam	Female.ovary_5Aligned.sortedByCoord.out.bam	Female.brain_1Aligned.sortedByCoord.out.bam	Female.brain_2Aligned.sortedByCoord.out.bam	Female.brain_3Aligned.sortedByCoord.out.bam	Female.brain_4Aligned.sortedByCoord.out.bam	Female_embryonic_brain_1Aligned.sortedByCoord.out.bam	Female_embryonic_brain_2Aligned.sortedByCoord.out.bam	Male.testis_1Aligned.sortedByCoord.out.bam	Male.testis_2Aligned.sortedByCoord.out.bam	Male.testis_3Aligned.sortedByCoord.out.bam
droNovLTRL5_LTR 263 546	chrW	203871	204129	+	259	0	0	0	0	0	0	0	0	0	0	1	0	0	0
droNovLTRL2_LTR 1 576	chrW	205068	205650	+	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soprano-Lb_droNov_LTR 246 585	chrW	205867	206258	-	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 546 710	chrW	267229	267391	-	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 526 629	chrW	267400	267505	-	106	0	0	0	0	0	0	0	0	1	0	0	0	0	0
droNovLTRL2_LTR 292 632	chrW	267593	267927	-	335	0	0	0	0	0	1	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 311 744	chrW	267879	268314	+	436	6	1	0	0	1	4	2	0	2	0	0	0	0	0
droNovLTRL2_LTR 6 194	chrW	274989	275177	-	189	0	0	0	0	0	1	0	1	0	0	0	0	0	0
droNovLTR4.inc 2459 2884	chrW	279933	280372	+	440	5	0	3	0	0	2	2	1	1	0	2	0	0	0
droNovLTRL2_LTR 241 710	chrW	280905	281449	+	545	0	0	0	0	0	0	0	0	1	0	0	0	0	0
droNovLTRL1_LTR 303 522	chrW	307725	307831	-	107	0	0	0	0	0	0	0	0	0	0	1	0	0	0
droNovLTRL1_LTR 268 302	chrW	307975	307989	-	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 1 58	chrW	331176	331233	+	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13a_LTR 1 315	chrW	351181	351496	-	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13b_I 2786 3087	chrW	351497	351748	-	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13b_I 1782 2561	chrW	351753	352511	-	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13b_I 1 694	chrW	353578	354255	-	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12b_LTR 3 80	chrW	356168	356245	-	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL6_LTR 122 371	chrW	360783	361031	+	249	0	1	0	1	0	3	0	0	0	0	0	0	0	0
droNovLTRL6_LTR 488 561	chrW	361035	361108	+	74	0	0	0	0	0	0	0	0	0	0	1	0	0	0
droNovLTR2_LTR 505 677	chrW	383758	383925	+	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13a_LTR 251 430	chrW	385645	385823	+	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 276 522	chrW	385839	386085	+	247	0	0	0	0	0	0	0	0	0	1	0	0	0	0
droNovLTRL9_LTR 595 720	chrW	413835	413963	-	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL9_LTR 329 601	chrW	414410	414685	-	276	0	0	1	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL9_LTR 2 328	chrW	414717	415081	-	365	0	0	1	0	1	0	1	0	0	0	0	0	0	0
strHab5-2680.inc 3 471	chrW	421522	422086	+	565	0	2	0	0	0	0	0	0	0	0	0	0	0	0
strHab5-2680.inc 472 981	chrW	422595	423207	+	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 1 217	chrW	433545	433774	-	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 169 371	chrW	435698	435906	+	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 481 1190	chrW	435904	436703	+	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 344 576	chrW	437759	438000	-	242	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ERV3-4_ACC-L_droNov_LTR 82 755	chrW	439005	439556	-	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-4_ACC-L_droNov_LTR 8 224	chrW	444087	444337	-	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0
strHab5-2680.inc 3 1163	chrW	447084	447648	+	565	2	0	0	0	0	1	0	1	0	0	0	0	0	0
strHab5-2680.inc 1164 2166	chrW	448153	448638	+	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERV2_I-int 1090 3915	chrW	448622	450172	+	1551	0	2	0	0	0	2	11	1	0	0	0	0	0	0
ERV1-1_GG-I 6287 6366	chrW	450539	450614	+	76	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Soprano-Lb_droNov_LTR 245 586	chrW	451288	451642	+	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNov5-3049.inc 2 225	chrW	451643	451858	+	216	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ERV3-4_ACC-L_droNov_LTR 179 370	chrW	453444	453555	-	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-4_ACC-L_droNov_LTR 132 201	chrW	453584	453652	-	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL9_LTR 692 720	chrW	459326	459354	+	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12b_I 1628 2466	chrW	463355	464200	+	846	0	0	0	0	0	0	0	0	0	0	1	0	0	0
droNovLTRL12b_I 2326 3159	chrW	465277	466115	+	839	0	0	0	0	1	0	0	0	0	0	0	0	0	0
droNovLTRK3_I 715 1138	chrW	469785	470219	-	435	20	30	14	17	6	2	1	0	0	0	1	5	27	14
droNovLTRL12a_I 3292 3907	chrW	471265	471881	+	617	1	1	2	3	0	0	1	0	0	0	0	0	0	0
droNovLTRL12a_I 4016 4045	chrW	471948	471977	+	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12a_LTR 266 420	chrW	472588	472742	+	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13b_I 2569 3087	chrW	495906	496418	-	513	3	4	2	0	3	0	0	2	0	0	0	0	0	0
droNovLTRL2_LTR 581 667	chrW	496518	496592	-	75	0	3	0	0	1	0	0	0	0	1	0	0	0	0
Soprano-Lc_droNov_LTR 180 511	chrW	498193	498545	+	353	1	10	8	6	9	0	0	0	0	0	0	0	0	0
ERV2-4_StHa-I 2252 4453	chrW	498682	500036	+	1355	28	76	12	9	15	1	4	0	0	0	0	0	0	0
TguLTRL1-La_lycPyr.inc 14406 14608	chrW	500308	500510	+	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV2-11_PMaj-I 4624 5427	chrW	500387	501201	+	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVK9_I-int 4658 5879	chrW	500475	501552	+	1078	3	0	0	0	0	0	0	0	0	3	0	0	0	0
calAnn6-1807 389 437	chrW	501566	501614	+	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV2-13_GG-I 4686 5420	chrW	501706	502523	+	818	22	67	20	17	36	17	22	7	5	0	5	0	0	0
droNovLTRL2_LTR 12 585	chrW	502870	503430	-	561	7	6	8	2	3	0	3	0	1	8	7	0	0	0
droNovLTRK4_LTR 1 402	chrW	509795	510156	+	362	0	0	0	2	2	0	0	0	0	1	0	0	0	0
droNovLTRK4_LTR 428 612	chrW	510251	510422	+	172	5	0	8	12	8	0	0	0	0	0	0	0	0	0
droNovLTRK2b_I 676 790	chrW	510800	510914	+	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV2-5_StHa-I 832 1092	chrW	511048	511303	+	256	68	87	47	56	53	0	0	0	1	0	0	0	0	0
ERV2-5_StHa-I 2019 2339	chrW	511299	511572	+	274	25	33	17	15	15	0	0	0	0	0	0	0	0	0
ERV2-5_StHa-I 2147 3435	chrW	511607	512883	+	1277	7	8	3	8	4	1	1	0	1	0	0	0	0	0
droNovLTRK2b_I 1995 5602	chrW	512076	514688	+	2613	458	1292	634	350	316	9	5	4	17	0	0	17	0	0
ERV3-4_ACC-L_droNov_LTR 6 237	chrW	522148	522401	+	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 338 693	chrW	596611	596959	+	349	0	0	0	0	0	0	0	0	2	0	0	0	0	0
droNovLTRL2_LTR 340 603	chrW	599424	599675	+	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 925 991	chrW	608586	608651	-	66	0	0	0	0	0	0	0	0	1	0	0	0	0	0
droNovLTRL2_LTR 280 541	chrW	609048	609307	-	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 138 411	chrW	609810	610082	-	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 1 1243	chrW	642011	643268	-	1258	0	0	0	0	1	0	1	0	0	2	1	0	0	0
droNovLTRK2b_I 2781 3185	chrW	644176	644579	-	404	42	75	39	50	23	1	2	0	0	0	0	0	0	0
ERV2-7_StHa-I 2763 2892	chrW	644564	644690	-	127	3	10	2	5	4	1	0	0	0	0	0	0	0	0
TguERVK7_I-int 3712 3984	chrW	644691	644835	-	145	6	18	3	3	3	0	0	1	0	0	0	0	0	0
ERV2-7_StHa-I 2019 2339	chrW	645089	645314	-	226	28	57	8	28	5	0	3	0	0	0	0	0	0	0
calAnnLTRK5c_I 1225 1409	chrW	645738	645940	-	203	9	27	6	4	3	2	0	1	0	0	0	0	0	0
strHab6-103.inc 428 612	chrW	646812	646983	-	172	0	4	5	11	6	0	0	0	0	0	0	1	0	0
droNovLTRL5_LTR 230 433	chrW	648634	648817	-	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 338 585	chrW	663435	663682	+	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 128 246	chrW	675223	675338	-	116	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ERV3-2_StHa-I 1732 4193	chrW	728458	730901	+	2444	237	29	11	20	48	5	17	7	5	34	5	4	2	0
ERV3-2_StHa-I 4190 5064	chrW	732097	732972	+	876	203	21	13	26	50	2	15	4	6	7	1	0	0	0
droNovLTR4.inc 1033 1175	chrW	782731	782755	-	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0
droNovLTRK3_I 1 219	chrW	785464	785616	+	153	0	16	1	0	2	0	0	0	0	0	1	0	0	0
droNovLTRK3_I 220 1168	chrW	785989	786645	+	657	29	18	18	27	15	1	0	1	0	1	5	12	1	0
EAVHP_I-int 2758 2878	chrW	790269	790389	+	121	3	2	0	0	0	0	0	0	0	0	0	0	0	0
ERV2-12_PMaj-I 4660 5165	chrW	790289	790812	+	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 290 635	chrW	812642	812987	-	346	3	0	0	0	0	1	1	1	2	1	2	0	0	0
calAnnLTRK2a_I 4238 4303	chrW	813677	813746	-	70	0	0	0	0	0	0	1	0	2	0	0	0	0	0
droNovLTRL2_LTR 1256 1318	chrW	826694	826757	-	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR2_LTR 201 677	chrW	829295	829768	+	474	0	0	0	0	0	0	0	2	2	0	0	0	0	0
strHab5-2680.inc 747 5375	chrW	832327	835741	-	3415	0	0	0	1	2	0	0	0	0	0	1	0	0	0
strHab5-2680.inc 3 746	chrW	836250	836796	-	547	0	0	0	0	0	0	0	0	2	0	0	0	0	0
droNovLTRK1_I 950 5888	chrW	947385	952265	-	4881	33	95	46	16	18	23	3	2	3	6	1	20	10	2
droNovLTRK1_I 1 949	chrW	952292	953160	-	869	6	2	4	10	1	0	0	0	1	1	0	0	0	0
ERV3-3_StHa-I 4277 4396	chrW	977086	977116	+	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-4_ACC-L_droNov_LTR 6 125	chrW	1001090	1001198	-	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 1 333	chrW	1001677	1001962	+	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 210 961	chrW	1003914	1004287	-	374	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Soprano-Lc_droNov_I-int 104 3220	chrW	1019637	1022779	+	3143	1	14	3	1	7	2	0	0	1	0	0	0	0	0
Soprano-Lc_droNov_I-int 3424 7048	chrW	1022779	1024664	+	1886	8	11	3	4	8	2	13	3	9	0	0	0	1	1
droNov5-3049.inc 1 216	chrW	1024667	1024872	-	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soprano-Lc_droNov_I-int 5720 5837	chrW	1025438	1025636	+	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRK2b_I 843 1989	chrW	1084352	1085513	+	1162	1	3	2	1	1	1	1	3	2	0	2	2	0	0
droNovLTRK2b_I 3020 3420	chrW	1085510	1085900	+	391	0	3	1	5	0	2	0	0	0	0	1	0	0	0
droNovLTRL12b_I 1617 2892	chrW	1115579	1116313	+	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGLTR7-int 5816 6003	chrW	1117767	1117951	-	185	0	0	0	0	0	0	0	0	0	0	2	0	0	0
droNovLTR4.inc 950 1310	chrW	1118739	1119102	-	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0
astRotLTRK11 2695 3075	chrW	1118933	1119327	-	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 152 285	chrW	1123791	1123921	+	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 647 726	chrW	1124152	1124236	+	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 290 413	chrW	1128534	1128650	-	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12b_I 1012 1663	chrW	1170741	1171428	+	688	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ERV3-3_StHa-I 762 803	chrW	1200363	1200404	+	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
astRotLTRK11 2888 2958	chrW	1202659	1202733	+	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-2_StHa-I 2212 2395	chrW	1238372	1238556	+	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-2_StHa-I 4209 4261	chrW	1238584	1238639	+	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNov6-3182.inc 1 753	chrW	1238640	1239384	+	745	3	0	0	1	0	0	0	0	0	0	0	0	0	0
Soprano-Lc_droNov_I-int 483 536	chrW	1252358	1252411	+	54	1	0	0	2	0	0	0	0	0	1	0	0	0	0
strHab6-2410.inc 398 819	chrW	1252733	1253162	+	430	1	0	0	0	0	0	0	0	0	0	0	0	0	0
strHab6-9311.inc 811 1059	chrW	1252915	1253163	+	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-2_StHa-I 2005 5064	chrW	1253144	1256196	+	3053	23	0	2	2	3	0	0	0	0	0	0	0	0	0
droNovLTRK4_LTR 11 385	chrW	1265074	1265482	-	409	45	84	20	19	30	3	2	0	1	3	0	0	0	0
droNovLTRK2b_I 2241 3378	chrW	1265482	1266630	-	1149	589	1197	392	348	523	38	17	5	30	4	0	0	0	0
ERV2-4_StHa-I 4028 4725	chrW	1266030	1266738	-	709	1034	2100	965	526	848	55	21	4	22	6	0	0	0	0
droNov6-3182.inc 1738 1776	chrW	1269757	1269795	-	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNov6-3182.inc 517 1317	chrW	1269794	1270582	-	789	2	0	0	0	0	0	1	0	0	0	0	0	0	0
droNovLTRL12a_I 3370 3495	chrW	1270598	1270723	+	126	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Soprano-Lc_droNov_I-int 104 1748	chrW	1271570	1273204	+	1635	0	6	0	0	0	0	0	0	0	2	0	0	0	0
Soprano-Lc_droNov_I-int 12 7157	chrW	1273236	1276942	+	3707	8	1	6	4	15	3	3	0	9	2	0	0	0	3
TguLTR11-Ld_droNov_LTR 1 542	chrW	1277294	1277832	+	539	1	0	0	0	0	0	0	0	0	0	0	0	0	1
droNovLTRL10_LTR 600 926	chrW	1279127	1279452	-	326	0	0	0	0	0	0	0	0	0	0	2	0	0	0
droNovLTRK1_I 1 690	chrW	1279553	1280156	-	604	1	1	1	0	0	0	0	0	0	0	0	1	0	0
droNovLTRK1_LTR 1 227	chrW	1280161	1280387	-	227	0	0	0	2	0	0	0	0	0	0	0	0	0	0
droNovLTRL13b_I 1594 3087	chrW	1281251	1282748	-	1498	2	5	5	1	2	11	13	11	9	6	9	0	0	0
droNovLTRL13b_I 1 845	chrW	1282749	1283594	-	846	0	1	0	0	2	2	3	3	3	5	0	0	0	0
droNovLTRL3_LTR 731 849	chrW	1290341	1290455	-	115	0	4	0	0	2	0	3	2	2	0	0	0	0	0
droNovLTR4.inc 2575 2705	chrW	1305742	1305863	+	122	0	11	3	1	3	1	0	0	0	0	0	0	0	0
droNovLTR3_LTR 230 1054	chrW	1306190	1307011	-	822	3	0	0	0	1	2	0	0	1	0	0	0	0	0
GGERVL-B-int 2403 4024	chrW	1310677	1312305	+	1629	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGERVL-B-int 4530 5291	chrW	1312407	1313155	+	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-2_StHa-I 2212 2340	chrW	1317313	1317441	+	129	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ERV3-2_StHa-I 4093 4262	chrW	1317545	1317716	+	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNov6-3182.inc 1 1191	chrW	1317717	1318887	+	1171	1	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL4_LTR 1 55	chrW	1318888	1318941	+	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNov6-3182.inc 1014 2643	chrW	1318940	1320570	+	1631	0	1	1	0	1	2	3	1	0	1	0	0	0	0
droNovLTRL5_LTR 300 768	chrW	1324875	1325363	-	489	0	0	0	0	0	0	0	1	0	0	1	0	0	0
strHab6-109.inc 886 944	chrW	1325719	1325778	+	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ERV3-4_ACC-L_droNov_LTR 1 1056	chrW	1325871	1326584	+	714	0	0	1	1	0	0	3	0	1	0	0	0	0	0
TguLTR11-Ld_droNov_LTR 738 964	chrW	1333598	1333830	-	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Ld_droNov_LTR 1 753	chrW	1334493	1335228	-	736	0	0	1	0	2	0	2	0	1	0	0	0	0	0
droNovLTRL12a_I 1006 1655	chrW	1339971	1340637	-	667	0	0	1	1	3	1	0	0	1	0	1	0	0	0
droNovLTR2_LTR 1 361	chrW	1344434	1344816	-	383	0	3	0	0	0	1	1	0	1	0	0	0	0	0
droNovLTRL1_LTR 158 521	chrW	1347735	1348084	+	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-1_StHa-I 2733 4666	chrW	1348202	1350138	+	1937	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERV3-2_StHa-I 4417 4548	chrW	1351995	1352126	-	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-2_StHa-I 2280 2711	chrW	1353877	1354305	-	429	0	0	0	0	0	0	0	0	0	1	0	0	0	0
droNovLTRL10_LTR 575 926	chrW	1354751	1355098	-	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-18_PMaj-I 4697 5133	chrW	1356535	1356968	+	434	0	0	0	0	0	0	0	1	0	0	0	0	0	0
calAnn6-2469.inc 192 346	chrW	1359431	1359604	-	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11l-Lc_lycPyr.inc 368 449	chrW	1359698	1359778	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVK8_I-int 4537 4689	chrW	1361287	1361434	-	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGERVL18-int 2161 2547	chrW	1361317	1361698	-	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV1-1_MUn-I 2423 2473	chrW	1361660	1361710	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL10_LTR 721 926	chrW	1364625	1364831	-	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL9_LTR 1 105	chrW	1367996	1368095	+	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL10_LTR 216 285	chrW	1368112	1368181	+	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL10_LTR 417 926	chrW	1368185	1368694	+	510	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ERV3-2_StHa-I 2212 2842	chrW	1370727	1371357	+	631	3	0	0	0	0	2	1	0	0	0	0	0	0	0
droNov6-3182.inc 25 314	chrW	1371340	1371631	+	292	0	0	0	0	0	0	1	1	1	0	1	0	0	0
strHab6-1957.inc 822 977	chrW	1372165	1372319	+	155	0	0	0	0	0	0	0	0	1	0	1	0	0	0
droNov6-3182.inc 1 22	chrW	1372705	1372725	+	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGERVL18-int 4052 4108	chrW	1372726	1372785	+	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNov6-3182.inc 23 126	chrW	1372786	1372880	+	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNov6-3182.inc 121 1191	chrW	1373263	1374316	+	1054	0	0	1	0	0	0	0	0	0	0	0	0	0	0
droNov6-3182.inc 1187 2643	chrW	1374978	1376427	+	1450	0	0	0	1	0	4	0	1	2	1	0	0	0	0
droNovLTRL9_LTR 162 319	chrW	1377998	1378160	+	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13b_I 1956 2371	chrW	1378153	1378567	-	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGERVL18-int 3604 3701	chrW	1378766	1378863	-	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-22_PMaj-I 3960 4025	chrW	1379027	1379091	-	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGERVL18-int 2109 2533	chrW	1379869	1380294	-	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13b_I 1 498	chrW	1382272	1382770	-	499	0	0	0	0	0	0	0	0	0	1	0	0	0	0
strHab6-1866.inc 1 1042	chrW	1404651	1405323	+	673	0	0	1	0	0	0	0	0	0	0	0	0	0	0
calAnn6-2780 4 991	chrW	1429417	1430095	-	679	0	0	0	0	0	0	0	0	0	0	2	0	0	0
droNovLTRL1_LTR 1 362	chrW	1497252	1497495	+	244	0	0	0	0	0	0	1	0	0	0	0	0	0	0
droNovLTRL1_LTR 363 517	chrW	1497673	1497775	+	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNov6-11052.inc 720 3394	chrW	1515989	1518111	-	2123	0	0	0	0	0	0	1	0	0	0	0	0	0	0
droNov6-11052.inc 1926 2007	chrW	1521169	1521250	-	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 779 1318	chrW	1533591	1534031	-	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 556 778	chrW	1534325	1534504	-	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 539 651	chrW	1534502	1534599	-	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR2_LTR 414 677	chrW	1573277	1573534	-	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR2_LTR 1 261	chrW	1573533	1573788	-	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 685 742	chrW	1573840	1573883	+	44	0	0	0	0	0	0	1	0	0	0	0	0	0	0
droNovLTRL2_LTR 743 1316	chrW	1574145	1574570	+	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12b_I 3424 4045	chrW	1583268	1583892	-	625	0	0	0	0	0	3	1	1	0	0	1	0	0	0
droNovLTRL12b_I 1011 1051	chrW	1583889	1583929	-	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVL2_I_Ucy-int 2475 2795	chrW	1595560	1595880	+	321	0	0	0	0	0	0	1	0	0	0	0	0	0	0
droNovLTRL12a_I 1612 2469	chrW	1595989	1596850	+	862	0	0	0	0	0	1	1	0	0	0	0	0	0	0
