Geneid	Chr	Start	End	Strand	Length	Female.ovary_1Aligned.sortedByCoord.out.bam	Female.ovary_2Aligned.sortedByCoord.out.bam	Female.ovary_3Aligned.sortedByCoord.out.bam	Female.ovary_4Aligned.sortedByCoord.out.bam	Female.ovary_5Aligned.sortedByCoord.out.bam	Female.brain_1Aligned.sortedByCoord.out.bam	Female.brain_2Aligned.sortedByCoord.out.bam	Female.brain_3Aligned.sortedByCoord.out.bam	Female.brain_4Aligned.sortedByCoord.out.bam	Female_embryonic_brain_1Aligned.sortedByCoord.out.bam	Female_embryonic_brain_2Aligned.sortedByCoord.out.bam	Male.testis_1Aligned.sortedByCoord.out.bam	Male.testis_2Aligned.sortedByCoord.out.bam	Male.testis_3Aligned.sortedByCoord.out.bam
droNovLTR3_LTR 8 1037	chr1;chr1	455413;113528129	456456;113529094	+;+	2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 269 545	chr1;chr1	483686;133227781	483957;133228020	-;+	512	0	0	0	0	0	0	0	0	0	0	0	0	1	0
droNov5-3049.inc 1 231	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr2;chr2;chr26;chr3;chr4;chr5;chr8	610517;91077845;132912378;132923905;95187088;132876478;132893241;132907476;68862613;144887406;1113196;58870195;7123751;66992275;37296161	610738;91078072;132912600;132924124;95187310;132876699;132893461;132907698;68862840;144887631;1113420;58870414;7123974;66992498;37296387	-;-;-;-;+;+;+;+;-;+;+;-;-;+;-	3356	1	1	1	4	2	3	1	0	5	0	1	0	1	1
strHab5-2680.inc 176 5293	chr1	612637	616292	-	3656	2	1	0	1	0	0	0	1	0	0	0	0	0	0
ERV1-5_StHa-I 704 944	chr1;chr1;chr1;chr7	617384;50778106;153868510;1102152	617647;50778370;153868771;1102383	-;-;-;+	1023	0	1	0	0	1	2	0	0	2	1	0	0	0	0
TguLTRL4a-La_lycPyr.inc 1852 1899	chr1	647106	647152	+	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTRL4a-La_lycPyr.inc 1982 2098	chr1	668866	668982	-	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 245 779	chr1	723637	724170	+	534	1	0	0	1	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 135 424	chr1	754942	755170	-	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-La_droNov_LTR 727 847	chr1	960487	960607	+	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-3_StHa-I 4315 4412	chr1	1126787	1126801	-	15	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ERV3-3_StHa-I 4279 4457	chr1;chr1;chr14;chr4a	1263832;15920875;16119669;23912799	1264010;15921045;16119839;23912963	-;-;-;+	686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 230 542	chr1;chr1	1330295;26845676	1330603;26845996	+;-	630	4	1	0	0	3	0	12	7	7	0	1	0	4	1
ERV3-3_StHa-I 4293 4426	chr1	1367593	1367723	-	131	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TguLTR11l-Ld_lycPyr.inc 1427 1508	chr1	1446704	1446785	-	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 677 829	chr1	1651352	1651515	+	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 682 1054	chr1	2443583	2443949	-	367	0	0	0	0	0	1	1	1	0	0	0	0	0	0
droNovLTRL12b_LTR 3 383	chr1	2776785	2777166	+	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12b_I 304 1718	chr1;chr1	2777155;2789066	2778566;2790472	+;+	2819	0	0	1	0	0	0	2	0	1	0	0	0	0	0
droNovLTRL12b_LTR 1 383	chr1	2788696	2789077	+	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 1 189	chr1	2998275	2998454	+	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTRL2a8-Lc_fAlb 777 839	chr1	3012048	3012112	+	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 8 728	chr1	3063003	3063649	+	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 1242 1318	chr1	3063800	3063882	+	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 330 1054	chr1	3684255	3684972	+	718	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERV3-1_StHa-I 6237 6298	chr1	3783857	3783918	+	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR1b_LTR 8 515	chr1	3785314	3785828	+	515	1	1	0	1	2	0	0	0	0	0	0	0	0	0
ERV2-11_PMaj-I 2258 2321	chr1	3801642	3801715	+	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-1_GG-LTR 341 391	chr1	4928320	4928369	+	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lc_droNov_LTR 1 713	chr1	4973557	4973768	+	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR8.inc 4343 4913	chr1	4973769	4974308	+	540	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lc_droNov_LTR 714 1016	chr1	4974309	4974396	+	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lc_droNov_LTR 1017 1194	chr1;chr1	4974451;81486889	4974608;81487048	+;+	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
strHab2-101.inc 1864 1956	chr1	5017518	5017621	-	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR5b-Ld_lycPyr 1890 1937	chr1	5261706	5261754	-	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 548 633	chr1	5368363	5368448	+	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 390 744	chr1	5425586	5425932	-	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 128 275	chr1	5436200	5436339	+	140	0	0	0	0	0	0	0	0	0	0	1	0	0	0
droNovLTRL2_LTR 1146 1312	chr1	5436350	5436498	+	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soprano-Lc_droNov_LTR 1 1006	chr1;chr1;chr1;chr1;chr1;chr1;chr2;chr2;chr3	5456152;39665030;42386581;76151345;87566727;106052644;60645097;93718688;108510240	5457177;39666006;42387628;76152341;87567761;106053695;60646082;93719730;108511265	+;+;+;+;+;+;+;+;+	9190	1	7	0	2	1	3	1	0	1	0	3	7	1	1
Soprano-Lc_droNov_LTR 1007 1195	chr1;chr1;chr1;chr1;chr1;chr2;chr2;chr2;chr3;chr3;chr3	5457228;39666139;42387685;76152388;106053752;1099672;93719791;101619839;31548626;108511313;108720481	5457367;39666241;42387821;76152527;106053891;1099811;93719930;101620050;31548769;108511454;108720622	+;+;+;+;+;+;+;+;+;+;+	1580	0	0	1	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 163 663	chr1	5506007	5506514	-	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 5 435	chr1	5735196	5735622	+	427	0	0	0	0	0	0	0	0	1	0	1	0	0	0
droNovLTRL2_LTR 565 848	chr1	5735619	5735868	+	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 3 167	chr1;chr1;chr1;chr1;chr2	5796704;215305338;55672148;102706637;162690899	5796865;215305490;55672192;102706800;162691055	-;-;+;+;-	681	0	3	1	0	0	0	0	0	0	0	1	2	0	0
droNovLTRL2_LTR 1 864	chr1	5810034	5810860	+	827	0	0	0	0	0	0	0	0	0	1	0	0	0	0
droNovLTRL2_LTR 865 1225	chr1	5810891	5811206	+	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 1 439	chr1	5883633	5884060	+	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 956 1318	chr1	5884106	5884443	+	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 147 881	chr1	5924296	5925033	+	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 407 1054	chr1	5925392	5926033	-	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-3_StHa-I 4290 4424	chr1	5951914	5951939	+	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 178 466	chr1;chr2	5983198;6119268	5983466;6119553	-;+	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 618 744	chr1	6105905	6106031	-	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 362 469	chr1	6106037	6106144	+	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 3 361	chr1	6135915	6136262	-	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-1_GG-LTR 346 397	chr1	6194359	6194409	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR2_LTR 1 149	chr1;chr2	6239656;29726660	6239804;29726821	-;+	311	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Soprano-Lb_droNov_LTR 1 305	chr1	6336743	6337048	+	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-La_droNov_LTR 467 1161	chr1	6337043	6337869	+	827	1	1	0	0	0	0	0	0	0	0	0	0	1	0
droNovLTRL2_LTR 1 632	chr1;chr2	6369173;13810768	6369799;13811370	+;+	1230	0	0	0	0	0	0	0	0	0	0	0	0	1	0
droNovLTRL2_LTR 552 876	chr1	6369808	6370109	+	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 887 1096	chr1	6370257	6370472	+	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-4_ACC-L_droNov_LTR 643 750	chr1	6387686	6387796	-	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-4_ACC-L_droNov_LTR 473 523	chr1	6387801	6387853	-	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR2_LTR 3 675	chr1	6389346	6390041	+	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 21 514	chr1	6488508	6488997	+	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 540 765	chr1	6489116	6489332	+	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 785 1054	chr1	6490277	6490571	+	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 448 541	chr1	6597607	6597700	-	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 1 1046	chr1;chr1;chr1;chr1;chr2;chr6;chr8	6646218;13800694;177292776;182647742;17352920;36191575;27838574	6647211;13801680;177293738;182648721;17353938;36192620;27839506	+;+;-;-;+;+;+	6922	0	0	0	0	0	3	0	1	2	0	3	0	0	0
droNovLTRL2_LTR 269 531	chr1	6668513	6668767	+	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 936 1301	chr1	6668883	6669279	+	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lb_droNov_LTR 242 293	chr1;chr1;chr3;chr4;chr5;chr5;chr5	6718201;161444047;103077274;83146958;24338894;40294727;46950176	6718252;161444098;103077325;83147009;24338945;40294778;46950227	+;-;+;+;+;+;-	364	1	0	4	5	0	1	7	1	2	0	0	0	0	0
strHab6-1866.inc 288 703	chr1	6893734	6894113	+	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL11_LTR 27 298	chr1	6906122	6906361	+	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 777 1318	chr1;chr11;chr18;chr2;chr4;chr7	6907153;698007;11521779;91326653;33597179;8805216	6907691;698539;11522312;91327172;33597706;8805737	-;-;+;+;+;-	3176	4	1	0	3	3	2	3	5	3	1	1	1	0	4
droNovLTR5_LTR 615 840	chr1	6912367	6912607	+	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV2-11B_GG-I 2955 3017	chr1	7020252	7020314	-	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 1 505	chr1	7058026	7058508	+	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 800 992	chr1	7058550	7058699	+	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRK2b_LTR 1 237	chr1	7075579	7075815	-	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 1 102	chr1	7404568	7404657	-	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 552 827	chr1	7438508	7438749	-	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 496 632	chr1	7438758	7438889	-	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-1_GG-LTR 331 397	chr1;chr4	7477996;50294483	7478065;50294556	+;-	144	0	0	0	0	0	0	0	0	1	0	0	0	0	0
droNovLTRL8_LTR 477 726	chr1	7767180	7767429	-	250	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TguLTR11-La_droNov_LTR 221 654	chr1	7767429	7767898	-	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL8_LTR 23 344	chr1;chr1;chr1;chr2;chr2;chr6;chr6	7767964;106192892;179983040;78009612;121955149;38587076;40629855	7768255;106193200;179983342;78009933;121955465;38587381;40630157	-;-;+;+;+;-;+	2152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calAnn6-2469.inc 1321 1387	chr1	7783188	7783206	+	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR6a-La_lycPyr.inc 2969 3140	chr1	8079706	8079885	+	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR8.inc 4311 4944	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr12;chr12;chr13;chr17;chr18;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr4;chr4a;chr6;chr6;chr6;chr7;chr9	8324099;61631517;65304037;86148122;86177495;94917169;116958837;162316488;214748684;83639300;100456396;189432782;136119;15343455;4857503;7053886;11572773;40912847;70647016;85811435;127940856;133104223;112578779;112589632;14978846;56162664;109844571;15374093;24503588;71280093;89699965;50452338;432224;9012086;30668637;15005387;3403223;18630900	8324731;61632153;65304675;86148762;86178133;94917804;116959473;162317124;214749320;83639940;100457035;189433417;136751;15344091;4858182;7054523;11573410;40913483;70647650;85812073;127941492;133104878;112579415;112590268;14979486;56163299;109845210;15374729;24504224;71280729;89700601;50452974;432860;9012723;30669268;15006023;3403859;18631536	-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;-;-;-;-;+;-;-	24277	579	788	1307	765	1024	188	198	99	188	33	51	829	522	801
ERV3-3_StHa-I 4334 4456	chr1;chr2	8727531;3916442	8727649;3916552	+;-	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 39 1054	chr1	8755250	8756280	+	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 23 390	chr1	8838562	8838889	+	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12a_I 2 4045	chr1	8861175	8865274	-	4100	0	1	0	0	0	0	0	0	1	1	0	0	0	0
droNovLTR3_LTR 1 1043	chr1	8978240	8979243	+	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 291 520	chr1	9032361	9032438	+	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lc_droNov_LTR 1 895	chr1	9065215	9066129	+	915	0	1	0	0	1	0	0	0	1	0	0	0	0	0
TguLTR11-Lc_droNov_LTR 896 1160	chr1	9066159	9066392	+	234	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Soprano-Lc_droNov_LTR 240 597	chr1;chr1;chr1;chr2;chr2	9083721;93804239;132517267;90573840;90580619	9084079;93804597;132517625;90574198;90580977	+;+;-;+;+	1795	0	3	2	0	1	0	0	0	0	0	1	0	2	2
Soprano-Lc_droNov_LTR 226 269	chr1	9157560	9157602	-	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 279 737	chr1	9179945	9180388	-	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 302 539	chr1	9180320	9180543	+	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 291 724	chr1	9392840	9393244	-	405	0	0	0	0	0	0	0	0	1	0	0	0	0	0
droNovLTRL2_LTR 295 716	chr1	9393173	9393591	+	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 171 454	chr1	9429277	9429552	-	276	0	0	0	0	0	2	0	0	1	0	0	0	0	0
droNovLTR3_LTR 742 1046	chr1	9438866	9439175	-	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 338 477	chr1	9439270	9439407	-	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 1 104	chr1;chr1;chr2;chr8	9439477;169915731;16561360;35932949	9439579;169915835;16561461;35933050	-;+;+;-	412	0	0	0	0	0	0	0	0	2	0	0	0	0	0
droNovLTRL5_LTR 636 742	chr1	9451921	9452030	-	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 925 1318	chr1;chr1;chr3	9560797;54430709;1568716	9561198;54431125;1569049	-;-;-	1153	2	1	1	0	1	1	0	0	0	0	0	1	0	0
droNovLTRK4_LTR 1 372	chr1	9783967	9784337	-	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 1084 1311	chr1	9793150	9793278	-	129	0	1	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 578 1115	chr1	9793283	9793548	-	266	0	0	0	0	0	0	0	1	1	0	0	0	0	0
droNovLTRL2_LTR 39 577	chr1	9794080	9794343	-	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 15 921	chr1	9854811	9855599	+	789	9	17	50	16	40	1	2	9	7	0	0	38	13	36
TguLTRK4-La_corCor 58 109	chr1	9927442	9927496	+	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 1047 1318	chr1	9958495	9958737	-	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 9 1046	chr1	9958777	9959851	-	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 475 1054	chr1	10105827	10106406	-	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lc_droNov_LTR 889 1161	chr1;chr3	10106407;18855310	10106629;18855545	-;-	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 203 479	chr1	10107433	10107706	-	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 1 330	chr1	10108662	10109010	-	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12a_I 1 1487	chr1	10111164	10112651	+	1488	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR8.inc 4311 4549	chr1;chr1;chr2;chr2	10117188;164455542;60275428;100382511	10117425;164455780;60275666;100382749	-;+;-;+	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soprano-Lb_droNov_LTR 997 1196	chr1;chr2;chr2;chr3	10183761;113351852;131371809;29230132	10183904;113352012;131371952;29230285	+;+;+;+	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 5 830	chr1	10394595	10395382	+	788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 1073 1137	chr1	10395429	10395494	+	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 1 469	chr1	10398757	10399205	-	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 3 169	chr1;chr1;chr10;chr2;chr4;chr9	11009973;132847352;25085087;766067;83669274;2961077	11010137;132847518;25085255;766232;83669421;2961239	-;+;-;-;+;-	978	0	1	0	0	0	0	0	0	0	1	0	0	1	0
TguLTR11-Lc_droNov_LTR 1 400	chr1	11015739	11015965	+	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR8.inc 4352 4913	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr18;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr20;chr3;chr3;chr3;chr4;chr4;chr4;chr7;chr7	11015966;52064432;75404893;105593714;41407714;76079283;107920616;120136652;170345840;189279219;14351180;16810671;24667913;81760322;20338980;81487427;117252290;136807957;18150869;21945888;67986956;56559266;18770446;41045110;44186901;35581219;36978553	11016515;52064959;75405443;105594279;41408270;76079832;107921146;120137204;170346389;189279769;14351730;16811223;24668442;81760871;20339561;81487977;117252828;136808506;18151429;21946437;67987506;56559816;18770989;41045655;44187451;35581768;36979102	+;+;+;+;-;-;-;-;-;-;+;-;-;-;+;+;+;+;+;-;-;+;+;+;-;-;+	14847	36	28	9	4	15	35	47	57	63	4	13	4	9	5
TguLTR11-Lc_droNov_LTR 401 1161	chr1	11016516	11016943	+	428	0	0	1	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 274 450	chr1	11027419	11027593	+	175	0	0	0	0	0	0	0	0	0	0	2	0	0	0
droNovLTRL2_LTR 878 1154	chr1	11027657	11027929	+	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 38 1054	chr1;chr1;chr2	11078847;14942241;33447342	11079791;14943227;33448303	-;-;-	2894	2	1	0	0	0	2	0	0	0	1	0	0	0	1
droNovLTR3_LTR 14 52	chr1	11079870	11079908	-	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 178 477	chr1	11126902	11127199	-	298	0	0	0	0	0	0	1	0	0	0	4	0	0	0
droNovLTR3_LTR 1 118	chr1	11127265	11127378	-	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
astRotLTRK11 2806 3077	chr1	11129468	11129734	+	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR4.inc 953 1313	chr1	11129574	11129928	+	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL6_LTR 392 561	chr1	11156139	11156308	+	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV3-3_StHa-I 4318 4466	chr1	11165607	11165628	-	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lc_droNov_LTR 1 884	chr1;chr1;chr1;chr2;chr3	11200595;76611121;81413721;25702737;24245323	11201478;76611981;81414601;25703503;24246203	+;+;+;+;+	4274	4	2	0	0	0	2	6	0	3	0	1	1	0	0
TguLTR11-Lc_droNov_LTR 885 1185	chr1	11201510	11201740	+	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 1 207	chr1	11235349	11235558	-	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERV2_I-Ld_lycPyr.inc-int 1645 1748	chr1	11237430	11237534	-	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 64 867	chr1	11252522	11253377	+	856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 64 873	chr1	11285321	11286173	-	853	0	0	0	0	0	0	0	0	0	0	0	0	0	0
strHab5-519.inc 715 886	chr1	11311213	11311384	+	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
strHabLTRL6_LTR 1 117	chr1;chr2;chr3;chr3	11415139;93716151;48330602;57245388	11415259;93716271;48330720;57245507	+;-;-;-	481	0	2	0	0	0	1	1	0	0	1	1	0	0	0
ERV3-3_StHa-I 4334 4491	chr1	11436016	11436157	-	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 2 80	chr1	11464754	11464827	+	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 772 1318	chr1;chr1;chr1;chr1;chr18;chr2;chr2;chr3;chr3;chr4	11610092;132311174;183555937;49808661;10062768;29045541;93209576;24406486;40220050;22289521	11610623;132311906;183556451;49809216;10063276;29046083;93210083;24406994;40220565;22290028	-;-;-;+;+;-;-;+;+;-	5429	2	2	1	1	1	2	2	1	1	0	2	0	0	0
droNovLTRL2_LTR 870 1039	chr1	11610651	11610859	-	209	0	0	0	0	0	0	1	0	0	0	0	0	0	0
droNovLTRL2_LTR 1 141	chr1;chr2	11610894;50093263	11611027;50093408	-;-	280	0	0	0	0	0	0	0	0	0	0	0	0	0	1
droNovLTR7.inc 713 1042	chr1	11838444	11838775	-	332	0	0	0	0	0	0	0	0	0	0	1	0	0	0
droNovLTRL4_LTR 225 655	chr1	11871728	11872149	-	422	3	6	2	2	0	3	0	1	0	3	0	0	2	2
TguLTR11-Lc_droNov_LTR 816 888	chr1	11872185	11872257	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
